Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,1,1,nan,nan,nan,nan
xml-3398ac2-4,7,1,-0.35634832254989923,0.31731050786291415,-0.408248290463863,0.36321746764912255
xml-3398ac2-4,1,1,nan,nan,nan,nan
xml-3398ac2-4,6,1,nan,nan,nan,nan
xml-3398ac2-4,5,1,nan,nan,nan,nan
xml-3398ac2-4,1,1,nan,nan,nan,nan
xml-3398ac2-4,1,1,nan,nan,nan,nan
xml-3398ac2-4,1,1,nan,nan,nan,nan
xml-3398ac2-4,1,1,nan,nan,nan,nan
xml-3398ac2-3,8,1,-0.4999999999999999,0.12663045794761713,-0.5773502691896257,0.13397459621556135
xml-3398ac2-3,1,1,nan,nan,nan,nan
xml-3398ac2-3,3,2,nan,nan,nan,nan
xml-3398ac2-3,2,2,nan,nan,nan,nan
xml-3398ac2-3,2,2,nan,nan,nan,nan
xml-3398ac2-2,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-3398ac2-2,1,1,nan,nan,nan,nan
xml-3398ac2-2,5,2,nan,nan,nan,nan
xml-3398ac2-2,1,1,nan,nan,nan,nan
xml-3398ac2-2,2,2,nan,nan,nan,nan
xml-3398ac2-2,1,1,nan,nan,nan,nan
xml-3398ac2-2,2,2,nan,nan,nan,nan
xml-3398ac2-5,7,2,nan,nan,nan,nan
xml-3398ac2-5,6,1,nan,nan,nan,nan
xml-3398ac2-5,2,2,nan,nan,nan,nan
xml-3398ac2-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,3,1,0.0,1.0,0.0,1.0
xml-4c99b96-5,4,1,nan,nan,nan,nan
xml-4c99b96-5,3,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-5,1,1,nan,nan,nan,nan
xml-4c99b96-4,7,2,nan,nan,nan,nan
xml-4c99b96-4,2,2,nan,nan,nan,nan
xml-4c99b96-3,3,2,nan,nan,nan,nan
xml-4c99b96-3,2,2,nan,nan,nan,nan
xml-4c99b96-3,2,2,nan,nan,nan,nan
